latitude,longitude,city,numberofcalls,bouroughs,state,zipcode,location
40.74203508,-73.99834359,NEW YORK,24,MANHATTAN, NY,10011,Club/Bar/Restaurant
40.68261354,-73.99323967,,25,BROOKLYN, NY,11231,Club/Bar/Restaurant
40.72553423,-73.97780461,NEW YORK,54,MANHATTAN, NY,10009,Club/Bar/Restaurant
40.68138125,-74.00444551,,34,BROOKLYN, NY,11231,Club/Bar/Restaurant
40.82925663,-73.94837452,NEW YORK,20,MANHATTAN, NY,10031,Club/Bar/Restaurant
40.67786527,-73.99806758,,23,BROOKLYN, NY,11231,Club/Bar/Restaurant
40.71884964,-73.98921727,NEW YORK,38,MANHATTAN, NY,10002,Club/Bar/Restaurant
40.66217506,-73.95370139,,18,BROOKLYN, NY,11225,Club/Bar/Restaurant
40.77850171,-73.95632493,NEW YORK,151,MANHATTAN, NY,10028,Club/Bar/Restaurant
40.82837372,-73.8240774,BRONX,13,BRONX, NY,10465,Club/Bar/Restaurant
40.86797939,-73.92024792,NEW YORK,42,MANHATTAN, NY,10034,Club/Bar/Restaurant
40.72104319,-73.95643113,,,BROOKLYN, NY,11249,Club/Bar/Restaurant
40.82283051,-73.95306933,NEW YORK,60,MANHATTAN, NY,10031,Club/Bar/Restaurant
40.68947714,-73.96958077,,32,BROOKLYN, NY,11205,Club/Bar/Restaurant
40.73945487,-74.00597582,NEW YORK,12,MANHATTAN, NY,10014,Club/Bar/Restaurant
40.76516441,-73.9877369,NEW YORK,17,MANHATTAN, NY,10019,Club/Bar/Restaurant
40.75739823,-73.90354533,WOODSIDE,32,QUEENS, NY,11377,Club/Bar/Restaurant
40.83131818,-73.85090765,BRONX,16,BRONX, NY,10462,Club/Bar/Restaurant
40.71153872,-73.94507144,,74,BROOKLYN, NY,11211,Club/Bar/Restaurant
40.76568038,-73.98736136,NEW YORK,55,MANHATTAN, NY,10019,Club/Bar/Restaurant
40.68026692,-73.9746902,,43,BROOKLYN, NY,11217,Club/Bar/Restaurant
40.7463425,-73.89134499,ELMHURST,65,QUEENS, NY,11373,Club/Bar/Restaurant
